Company,TypeName,Ram,OpSys,Weight,TouchScreen,Ips,Cpu_Speed,Cpu_Type,Gpu_vender,HDD,SSD,ppi,Price_USD
Acer,Notebook,4,Windows 10,2.2,0,0,2.7,Intel Core i3,Nvidia,0,256,141.21199808219862,600.6
HP,Notebook,8,Windows 10,2.05,0,0,2.7,Intel Core i7,Intel,1000,0,100.45466986113652,627.9
HP,Notebook,8,Windows 10,1.63,0,0,1.8,Intel Core i7,Intel,0,256,157.3505121487356,1037.4
Lenovo,Notebook,4,No OS,1.9,0,0,1.1,Other Intel Processor,Intel,1000,0,100.45466986113652,264.98
Asus,Gaming,8,Windows 10,3.0,0,0,2.5,Intel Core i5,Nvidia,1000,128,127.33567457123112,984.9
Lenovo,Notebook,4,No OS,2.2,0,0,2.5,Intel Core i5,Nvidia,1000,0,141.21199808219862,523.95
HP,Notebook,4,Windows 10,1.32,0,1,2.5,Intel Core i5,Intel,0,256,165.6321180513006,733.95
Acer,Notebook,4,Windows 10,3.0,0,1,2.7,Intel Core i3,Nvidia,1000,0,127.33567457123112,687.75
Lenovo,Notebook,8,Windows 10,1.75,0,1,1.6,Intel Core i5,AMD,0,256,157.3505121487356,1171.82
Lenovo,Gaming,8,No OS,2.4,0,1,2.8,Intel Core i7,Nvidia,0,256,141.21199808219862,912.45
Toshiba,Notebook,4,Windows 10,2.1,0,0,2.3,Intel Core i5,Intel,500,0,100.45466986113652,632.1
HP,Notebook,4,Windows 10,1.86,0,0,2.5,AMD Processor,AMD,0,256,100.45466986113652,387.45
Asus,Ultrabook,8,Windows 10,1.25,0,0,1.8,Intel Core i7,Intel,0,256,157.3505121487356,1153.95
HP,Ultrabook,8,Windows 10,0.97,1,1,1.2,Other Intel Processor,Intel,0,512,352.4651472131677,2114.7
Asus,Notebook,4,Windows 10,2.0,0,0,1.1,Other Intel Processor,Intel,1000,0,141.21199808219862,361.2
MSI,Gaming,16,Windows 10,2.9,0,0,2.8,Intel Core i7,Nvidia,1000,256,127.33567457123112,2130.45
Acer,Notebook,4,Windows 10,2.1,0,0,2.0,Intel Core i3,Intel,1000,0,100.45466986113652,469.35
Dell,Gaming,16,Windows 10,2.56,0,0,2.8,Intel Core i7,Nvidia,0,512,141.21199808219862,1311.72
Dell,Gaming,8,Windows 10,2.62,0,0,2.8,Intel Core i7,Nvidia,0,0,141.21199808219862,943.95
Lenovo,Notebook,4,Windows 10,1.9,0,0,2.5,Intel Core i5,Intel,0,128,100.45466986113652,522.9
MSI,Gaming,16,Windows 10,2.8,0,0,2.8,Intel Core i7,Nvidia,1000,256,127.33567457123112,1984.5
HP,Ultrabook,4,Windows 10,1.48,0,0,2.7,Intel Core i5,Intel,0,256,157.3505121487356,1136.1
